Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
Western Massachusetts Casino,HIA reports,"2014, January",An HIA to inform decisions regarding a proposed casino in western Massachusetts.,Partners for a Healthier Community,,,Massachusetts,,Other,"Addictive substances and behaviors,Workforce development,Economic development","Alcohol, tobacco, and drug use,Safe street infrastructure,Employment,Community safety,Income and wealth",Regional,"Urban,Suburban",Nonprofit organization,"Economically disadvantaged,Racial and ethnic minorities",Qualitative research,No,Health Impact Project grantee,Completed
City of Worcester Union Hill Revitalization,HIA reports,"2009, June","A rapid HIA to examine the neighborhood revitalization strategy in the Union Hill area of Worcester, Massachusetts.","Worcester Divison of Public Health, Massachusetts Department of Public Health, Worcester Office of Economic Development",,Worcester ,Massachusetts,,"Community development,Housing,Planning and zoning","Planning,Active transportation","Safe street infrastructure,Safe and accessible active transportation routes,Community safety,Education,Access to services/medical care,Safe, affordable, and healthy housing",Local,Urban,Government agency,Economically disadvantaged,,No,Other funding,In progress
Massachusetts Low-Income Home Energy Assistance Program,HIA reports,"2007, April",An HIA that addressed health outcomes associated with the Low-Income Home Energy Assistance Program and high energy costs in Massachusetts.,Boston University Child HIA Working Group,,,Massachusetts,,Energy,"Financing,Food and nutrition,Programs,Utilities","Access to healthy food,Safe, affordable, and healthy housing",State,"Urban,Suburban,Rural",Nonprofit organization,"Children,Economically disadvantaged","Primary research,Qualitative research,Quantitative research",Yes,Other funding,Completed
Plymouth South High School,HIA reports,In progress,An HIA of the Plymouth South High School redevelopment proposal to examine connections between school siting and health and inform school districts and their partners about how to better integrate health considerations into local school building and redevelopment projects.,"Massachusetts Department of Public Health, Metropolitan Area Planning Council",,Plymouth,Massachusetts,,"Education,Planning and zoning","Redevelopment,Schools,Siting",,Local,Urban,Government agency,,,No,Other funding,In progress
Oasis on Ballou Mixed-Use Development,HIA reports,"2012, January",An HIA that examined the effects of a proposed multiuse land development in a residential neighborhood in Boston.,"Health Resources in Action, Massachusetts Department of Public Health",,Boston,Massachusetts,,Planning and zoning,"Food and nutrition,Land-use planning,Siting,Schools","Access to healthy food,Diet and physical activity,Family and social support,Safe and affordable parks and recreational facilities",Local,Urban,Nonprofit organization,"Children,Chronic health conditions","Primary research,Qualitative research,Survey",No,Other funding,Completed
Massachusetts Rental Voucher Program,HIA reports,"2005, January","An HIA that addressed the potential health effects on children of proposed changes to the Massachusetts Rental Voucher Program, a housing assistance and homelessness prevention program.",Boston University Child HIA Working Group,,,Massachusetts,,Housing,Programs,"Access to services/medical care,Education,Employment,Income and wealth,Safe, affordable, and healthy housing",State,Suburban,Nonprofit organization,"Children,Chronic health conditions,Economically disadvantaged,Homeless",Literature review,Yes,Other funding,Completed
Massachusetts Proposed Expungement Bill,HIA reports,"2016, July",Rapid assessments of policies related to criminal justice reform and immigration to serve as the foundation for educating students and community partners and inform state legislative decisions surrounding driver’s licenses for formerly incarcerated persons.,"Department of Urban Studies and Planning at Massachusetts Institute of Technology, the Metropolitan Area Planning Council",,,Massachusetts,,Criminal justice,"Legislation,Mental/behavioral health","Adverse childhood experiences,Employment,Incarceration",State,"Urban,Suburban,Rural",Educational institution,"Current/former correctional population,Racial and ethnic minorities","Primary research,Qualitative research,Survey,Literature review",No,Health Impact Project grantee,Completed
Massachusetts Paid Sick Days,HIA reports,"2009, January","An HIA that addressed the health implications of Massachusetts’ version of the federal Healthy Families Act, which would have entitled employees to accrue one hour of paid sick time per 30 hours worked, up to nine days a year.",Human Impact Partners,,,Massachusetts,,Labor and employment,"Human resources policies, benefits,Food and nutrition,Legislation,Mental/behavioral health,Wages","Access to services/medical care,Employment,Income and wealth",State,"Urban,Suburban,Rural",Nonprofit organization,"Economically disadvantaged,Older adults,Racial and ethnic minorities","Focus groups,Primary research,Qualitative research",Yes,Other funding,Completed
Massachusetts Speed Limit Bill,HIA reports,"2012, January","An HIA that examined potential health effects of proposed legislation to lower the default speed limit from 30 to 25 mph on local Massachusetts roads through changes to injuries and safety, air pollution, and physical activity.","Metropolitan Area Planning Council, Massachusetts Department of Health",,,Massachusetts,,Transportation,"Bridges and roads,Legislation","Clean air and water,Diet and physical activity,Safe street infrastructure",State,"Urban,Suburban,Rural",Government agency,Children,"Quantitative research,Literature review,Qualitative research",Yes,Other funding,Completed
Healthy Neighborhoods Equity Fund,HIA reports,"2013, January","An HIA to inform three transit-oriented development projects in Roxbury, Massachusetts, that helped define the health metrics used to determine which projects would be supported through the Healthy Neighborhoods Equity Fund.","Metropolitan Area Planning Council, Massachusetts Department of Public Health, Conservation Law Foundation",,Roxbury ,Massachusetts,,"Transportation,Community development,Housing",Brownfields and Superfund sites,"Community safety,Family and social support,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities,Access to healthy food,Safe street infrastructure,Clean air and water",State,Urban,Government agency,Racial and ethnic minorities,"Literature review,Qualitative research,Quantitative research",No,Other funding,Completed
Michigan Street Corridor Plan: A Health Impact Assessment,HIA reports,"2012, December","An HIA that investigated the health issues, including asthma and air quality, personal injury, obesity, and socioeconomic inequity, associated with proposed changes to the Michigan Street Corridor that aim to advance housing, economic and community development, transportation, and environmental outcomes to ensure a sustainable future for Grand Rapids and the West Michigan region.","City of Grand Rapids, Public Sector Consultants, Kent County Health Department Community Research Institute",,Grand Rapids,Michigan,,Planning and zoning,"Active transportation,Economic development,Planning","Access to healthy food,Clean air and water,Diet and physical activity,Income and wealth,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Government agency,"Chronic health conditions,Economically disadvantaged,Individuals with disabilities","Literature review,Qualitative research",No,Other funding,Completed
Columbia Transit System Expansion,HIA reports,"2012, December","An HIA that explored the potential health effects of expanding and improving bus service in Columbia, Missouri.",Columbia/Boone County Department of Public Health & Human Services,,Columbia,Missouri,,"Transportation,Planning and zoning","Public transit,Financing","Employment,Access to healthy food,Safe and affordable public transit,Safe and accessible active transportation routes,Diet and physical activity,Access to services/medical care",Local,Urban,Government agency,"Economically disadvantaged,Older adults,Racial and ethnic minorities","Primary research,Quantitative research,Qualitative research,Survey,Literature review",Yes,Other funding,Completed
"Healthy Community Design in Liberty, Missouri",HIA reports,"2016, June","A rapid HIA to determine the health outcomes related to having sidewalks on one versus two sides of the street and of grid versus cul-de-sac street designs in Liberty, Missouri.","Clay County Public Health Center, Liberty Community Health Action Team",,Liberty,Missouri,,Planning and zoning,"Active transportation,Bridges and roads,Emergency preparedness/ response","Clean air and water,Community safety,Diet and physical activity,Family and social support,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Government agency,Chronic health conditions,"Primary research,Literature review,Survey,Qualitative research",No,Other funding,Completed
Page Avenue Revitalization,HIA reports,"2010, January","An HIA that addressed a $45 million revitalization project in Pagedale, Missouri, focusing on safety and access to healthy foods.",Washington University in St. Louis Institute for Public Health,,Pagedale,Missouri,,"Community development,Planning and zoning","Active transportation,Economic development,Food and nutrition,Planning,Redevelopment","Access to healthy food,Access to services/medical care,Community safety,Diet and physical activity,Employment,Family and social support,Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Educational institution,"Chronic health conditions,Economically disadvantaged","Literature review,Quantitative research,Qualitative research,Focus groups,Primary research",No,Other funding,Completed
Potential Utility Fee to Fund Columbia Transit,HIA reports,"2013, January","A rapid HIA focused on potential effects on housing conditions and safety of low-income households, conducted in response to a previous assessment, completed in 2012, on a potential utility fee to fund Columbia (Missouri) Transit.",Columbia/Boone County Department of Public Health and Human Services; The PedNet Coalition and Central Missouri Community Action,,Columbia/Boone County,Missouri,,Tax and budget policy,"Financing,Utilities,Public transit,Food and nutrition,Mental/behavioral health","Access to healthy food,Safe, affordable, and healthy housing,Access to services/medical care,Income and wealth,Safe and affordable public transit",Local,Urban,Government agency,Economically disadvantaged,"Literature review,Primary research,Survey,Qualitative research",No,Other funding,Completed
South Billings Master Plan,HIA reports,2012,"An HIA on the South Billings, Montana, master plan.",Yellowstone City-County Health Department,,Billings,Montana,,Planning and zoning,"Active transportation,Food and nutrition,Land-use planning,Long-range planning","Access to healthy food,Community safety,Diet and physical activity,Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Government agency,"Chronic health conditions,Economically disadvantaged","Primary research,Quantitative research,Qualitative research,Literature review",Yes,Health Impact Project grantee,Completed
Yellowstone County Growth Policy,HIA reports,2008,"An HIA to inform the 2008 Growth Policy for the City of Billings, Montana, which focused on health effects such as stress, injury, and diabetes.",RiverStone Health,,Yellowstone County,Montana,,Planning and zoning,"Active transportation,Emergency preparedness/ response,Food and nutrition,Wages","Access to healthy food,Community safety,Diet and physical activity,Employment,Safe, affordable, and healthy housing,Safe and accessible active transportation routes",County,Urban,Government agency,Other,"Qualitative research,Literature review",Yes,Other funding,Completed
24th Street Road Diet,HIA reports,"2012, November","An HIA of a proposal in the city of Omaha, Nebraska, to include a center turn lane on South 24th Street, and how it might affect pedestrian safety.",Douglas County Health Department,,Omaha,Nebraska,,"Planning and zoning,Transportation","Planning,Bridges and roads,Active transportation,Emergency preparedness/ response","Safe and accessible active transportation routes,Safe street infrastructure,Community safety,Family and social support",Local,Urban,Government agency,"Children,Older adults,Individuals with disabilities","Literature review,Primary research",Yes,Other funding,Completed
Omaha Neighborhood Redevelopment Plan,HIA reports,"2015, June","An HIA to inform the Omaha (Nebraska) Planning Department and Omaha City Council’s Deer Park Neighborhood Redevelopment Plan, which will rehabilitate 33 existing properties, construct five new homes, and assemble a range of partners to address resident needs.",Douglas County Health Department,,Omaha,Nebraska,,"Housing,Planning and zoning","Planning,Redevelopment","Clean air and water,Diet and physical activity,Safe, affordable, and healthy housing,Safe street infrastructure",Local,Urban,Government agency,"Chronic health conditions,Economically disadvantaged","Qualitative research,Literature review",No,Health Impact Project grantee,Completed
Parking Management in Downtown Omaha,HIA reports,"2015, May","An HIA on two proposals—adjusting parking rates and increasing the use of shared instead of reserved parking—in Omaha, Nebraska, focused on potential heat-island effects from increased pavement, poor water quality from runoff, walking distance from a parking location to the final destination, and parking demand.",Douglas County Health Department,,Omaha,Nebraska,,Other,"Active transportation,Public transit","Clean air and water,Safe and accessible active transportation routes,Safe and affordable public transit,Safe street infrastructure",Local,Urban,Government agency,Chronic health conditions,"Literature review,Qualitative research,Primary research",No,Other funding,Completed
Zoning for Walkable Mixed-Use Neighborhoods ,HIA reports,2012,"An HIA that examined a proposed zoning change in Omaha, Nebraska, to increase walkability in mixed-use neighborhoods.",Douglas County Health Department,,Omaha,Nebraska,,Planning and zoning,Active transportation,"Safe, affordable, and healthy housing,Safe and accessible active transportation routes,Safe and affordable public transit",Local,Urban,Government agency,Other,Primary research,No,Other funding,Completed
Adams Park,HIA reports,2013,"An HIA of the proposed renovation of Adams Park—a 68-acre green space located in a predominantly African-American area of Omaha, Nebraska—focused on health effects associated with access to healthy foods, opportunities for physical activity, safety from crime and traffic, and education that recommended the creation of an urban farming and community gardening center.",Douglas County Health Department   ,,Omaha,Nebraska,,"Agriculture,Food and nutrition policy,Community development","Parks and green spaces,Food and nutrition","Access to healthy food,Safe and affordable parks and recreational facilities,Safe street infrastructure,Community safety,Diet and physical activity,Family and social support",Local,Urban,Government agency,"Economically disadvantaged,Racial and ethnic minorities","Literature review,GIS mapping,Primary research",No,Other funding,Completed
Cole Creek,HIA reports,2013,"A health impact assessment of 40 vacant lots along a 3-mile stretch of Cole Creek in Omaha, Nebraska, that informed the city’s parks, recreation, and public property department how the land could best benefit the health of nearby neighborhoods.",Douglas County Health Department,,Omaha,Nebraska,,Planning and zoning,"Land-use planning,Parks and green spaces,Food and nutrition","Access to healthy food,Diet and physical activity,Safe and affordable parks and recreational facilities,Community safety",Local,Urban,Government agency,"Economically disadvantaged,Chronic health conditions,Racial and ethnic minorities",Literature review,No,Other funding,Completed
Crossroads Redevelopment Area,HIA reports,2013,"An HIA on the redevelopment of the Crossroads shopping mall complex in Omaha, Nebraska, focusing on how design decisions such as green space, parking, and roadway configuration could affect health.","Douglas County Health Department, Midtown Neighborhood Alliance, City of Omaha, Nebraska Department of Health and Human Services, Metropolitan Area Planning Agency, Omaha by Design",,Omaha,Nebraska,,Planning and zoning,"Active transportation,Parks and green spaces,Land-use planning,Siting,Public transit","Safe and accessible active transportation routes,Diet and physical activity,Safe and affordable parks and recreational facilities,Safe and affordable public transit,Safe street infrastructure",Local,Urban,Government agency,"Economically disadvantaged,Chronic health conditions",Literature review,Yes,Other funding,Completed
North Platte Mobile Home Ordinance,HIA reports,2013,"An HIA on proposed changes to North Platte, Nebraska, ordinances governing mobile home housing conditions, which found that the likely result would be more physically stable housing with fewer pests and less moisture and standing water.","West Central District Health Department in conjunction with Advisory Council members from the North Platte community, with technical assistance from Human Impact Partners and funding assistance from the Nebraska Department of Health and Human Services",,North Platte,Nebraska,,Housing,Regulation,"Safe, affordable, and healthy housing",Local,Urban,Government agency,"Children,Chronic health conditions,Economically disadvantaged","Literature review,Primary research",No,Other funding,Completed
"Nuisance Abatement Plan in Superior, Nebraska",HIA reports,2013,"An HIA of the implementation of Phase 2 of a nuisance abatement plan in Superior, Nebraska.","South Heartland District Health Department, Douglas County Health Department, Human Impact Partners",,Superior,Nebraska,,Planning and zoning,"Active transportation,Economic development,Planning,Waste management","Community safety,Diet and physical activity,Family and social support,Safe and accessible active transportation routes",Local,Urban,Government agency,Chronic health conditions,"Literature review,Primary research,Qualitative research,Quantitative research",No,Other funding,Completed
Omaha Neighborhood Connections,HIA reports,"2016, March","An HIA to inform links between new real estate development and existing neighborhoods in Omaha, Nebraska, which identified health and safety issues that should be considered in decisions on street connections and assessed resident engagement in the development review process.",Douglas County Health Department,,Omaha,Nebraska,,Transportation,"Active transportation,Bridges and roads,Planning","Safe and accessible active transportation routes,Safe street infrastructure",Local,Urban,Government agency,"Children,Older adults,Individuals with disabilities","Literature review,Primary research,Qualitative research",No,Health Impact Project grantee,Completed
Full-Day Kindergarten,HIA reports,"2015, June",An HIA to inform decisions by the Nevada Legislature on proposed modifications to the availability of full-day kindergarten and on allocating state funding to support classes in high-risk schools.,"University of Nevada, Las Vegas",,,Nevada,,Education,"Financing,Legislation,Programs,Schools","Access to services/medical care,Adverse childhood experiences,Diet and physical activity,Education",State,"Urban,Suburban,Rural",Educational institution,"Children,Economically disadvantaged,Linguistically isolated,Racial and ethnic minorities","Primary research,Focus groups,Literature review",Yes,Health Impact Project grantee,Completed
City of Fairmont Bicycle/Pedestrian Transportation Plan,HIA reports,2014,"An HIA of a comprehensive bicycle and pedestrian plan for downtown Fairmont, West Virginia.","Health Research Center at West Virginia University, Main Street Fairmont",,Fairmont,West Virginia,,"Planning and zoning,Transportation","Planning,Active transportation","Safe street infrastructure,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",Local,"Suburban,Urban",Educational institution,Chronic health conditions,Literature review,No,Other funding,Completed
"Alcohol Outlet Density in the Greenbush-Vilas Neighborhood, Madison, Wisconsin",HIA reports,"2013, November",An HIA of an Alcohol Limiting Density Ordinance in a neighborhood bordering the University of Wisconsin in Madison.,University of Wisconsin Population Health Institute,,Madison,Wisconsin,,Planning and zoning,"Addictive substances and behaviors,Regulation,Legislation","Alcohol, tobacco, and drug use,Community safety",Local,Urban,Educational institution,Other,"Primary research,Qualitative research,Quantitative research",Yes,Other funding,Completed
Capital Area Regional Planning Commission Future Urban Development Area,HIA reports,2012,"A rapid HIA to assess the potential effects of future urban planning on physical activity, with a focus on impacts to aging populations.","Wisconsin HIA Collaborative, Capital Area Regional Planning Commission",,Dane County,Wisconsin,,"Planning and zoning,Natural resources management","Land-use planning,Long-range planning,Active transportation,Food and nutrition,Parks and green spaces","Diet and physical activity,Access to healthy food,Safe and affordable parks and recreational facilities,Safe and accessible active transportation routes,Family and social support",Local,"Urban,Rural,Suburban",Government agency,Older adults,Literature review,No,Other funding,Completed
Fitchburg–Nine Springs,HIA reports,"2014, June","An HIA of proposed updates to the master plan for a 33-acre city park property, currently used as the Nine Springs Golf Course in Fitchburg, Wisconsin.",Public Health Madison and Dane County,,Fitchburg,Wisconsin,,Planning and zoning,"Land-use planning,Parks and green spaces,Siting","Community safety,Diet and physical activity,Family and social support,Safe, affordable, and healthy housing,Safe and affordable parks and recreational facilities",Local,Urban,Government agency,"Children,Chronic health conditions,Older adults,Economically disadvantaged,Racial and ethnic minorities","Primary research,Survey,Literature review",No,Health Impact Project grantee,Completed
"Ice Age Trail Expansion-Marquette County, Wisconsin",HIA reports,"2011, March","An HIA to assess the potential health effects of expanding the Wisconsin Ice Age Trail associated with changes to the built environment, economy, and social connectedness.","Marquette County Health Department, Wisconsin Department of Health Services                   ",,Marquette County ,Wisconsin,,"Natural resources management,Planning and zoning","Economic development,Parks and green spaces,Siting","Diet and physical activity,Family and social support,Safe and affordable parks and recreational facilities",Local,Rural,Government agency,"Chronic health conditions,Economically disadvantaged,Mental illness","Literature review,Qualitative research",Yes,Other funding,Completed
"Alcohol Outlet Density-Marathon County, Wisconsin",HIA reports,"2011, May","An HIA to assess the impact on underage drinking and drinking and driving behaviors of an alcohol outlet density policy on the health of Marathon County, Wisconsin.",Marathon County Health Department                   ,,Marathon County ,Wisconsin,,Planning and zoning,"Addictive substances and behaviors,Regulation,Legislation","Alcohol, tobacco, and drug use,Community safety",Local,Rural,Government agency,"Children,Economically disadvantaged","Primary research,Literature review,Survey",Yes,Other funding,Completed
Blue Ridge Road Corridor ,HIA reports,"2014, February","A health impact assessment to inform decisions affecting the small area plan in the 32-mile Blue Ridge Road Corridor in Raleigh, North Carolina.","University of North Carolina, Chapel Hill; Blue Ridge Road Corridor Work Group and Project Advisory Board",,Raleigh,North Carolina,,"Transportation,Planning and zoning","Bridges and roads,Active transportation,Public transit,Planning","Safe street infrastructure,Safe and accessible active transportation routes,Diet and physical activity",Local,Urban,Educational institution,"Older adults,Economically disadvantaged,Racial and ethnic minorities","Qualitative research,Primary research,Quantitative research",Yes,Other funding,Completed
Hood River Farmland Rezone,HIA reports,"2011, June","An HIA to determine the health effects of rezoning 30 acres of former orchards (zoned EFU, or exclusive farm use) to allow recreational development.","Oregon Department of Human Services, Public Health Division",,Hood River,Oregon,,"Agriculture,Planning and zoning","Parks and green spaces,Land-use planning","Diet and physical activity,Safe and affordable parks and recreational facilities,Income and wealth",County,Rural,Government agency,"Economically disadvantaged,Racial and ethnic minorities,Chronic health conditions,Children","Literature review,Primary research",No,Other funding,Completed
State Route 520 Bridge,HIA reports,2008,An HIA to explore the health effects of the State Route 520 bridge replacement and high-occupancy vehicle project in Seattle.,"Public Health - Seattle & King County, Puget Sound Clean Air Agency",,Seattle and King County,Washington,,Transportation,"Active transportation,Bridges and roads","Clean air and water,Diet and physical activity,Safe and accessible active transportation routes,Safe street infrastructure",County,"Suburban,Rural",Government agency,"Children,Chronic health conditions,Older adults","Focus groups,Primary research",No,Other funding,Completed
